Version	1
Run name	C:\Users\Jenny\Desktop\David A\LSPR Lab 18\skalman_lspr.inr
Export time	2018-02-20 16:58
Pos1 sample	Label for Pos1
Pos2 sample	
Spectrometer integration time	3
Spectrometer sample averages	300
pos1-Centroid_x	pos1-Centroid_y	pos1-FWHM(wp)_x	pos1-FWHM(wp)_y	pos1-FWHM(lw*2)_x	pos1-FWHM(lw*2)_y	pos1-Ext@Peak_x	pos1-Ext@Peak_y	pos1-PeakPos_x	pos1-PeakPos_y	pos1-ExtDiff_x	pos1-ExtDiff_y
1.775938E2	7.553803E2	1.775938E2	2.049846E2	1.775938E2	2.256680E2	1.775938E2	6.253168E-1	1.775938E2	7.543497E2	1.775938E2	2.127622E-1
1.794219E2	7.553762E2	1.794219E2	2.049934E2	1.794219E2	2.256783E2	1.794219E2	6.252995E-1	1.794219E2	7.543399E2	1.794219E2	2.128072E-1
1.812500E2	7.553850E2	1.812500E2	2.051386E2	1.812500E2	2.260512E2	1.812500E2	6.254507E-1	1.812500E2	7.543492E2	1.812500E2	2.129104E-1
1.830781E2	7.553807E2	1.830781E2	2.048937E2	1.830781E2	2.256719E2	1.830781E2	6.252648E-1	1.830781E2	7.543453E2	1.830781E2	2.128954E-1
1.849063E2	7.553891E2	1.849063E2	2.051214E2	1.849063E2	2.259450E2	1.849063E2	6.253890E-1	1.849063E2	7.543596E2	1.849063E2	2.128732E-1
1.867344E2	7.553850E2	1.867344E2	2.049452E2	1.867344E2	2.257208E2	1.867344E2	6.253208E-1	1.867344E2	7.543542E2	1.867344E2	2.129247E-1
1.885625E2	7.553922E2	1.885625E2	2.050756E2	1.885625E2	2.260092E2	1.885625E2	6.253864E-1	1.885625E2	7.543629E2	1.885625E2	2.130325E-1
1.904063E2	7.553802E2	1.904063E2	2.050636E2	1.904063E2	2.259894E2	1.904063E2	6.253945E-1	1.904063E2	7.543455E2	1.904063E2	2.129532E-1
1.922344E2	7.553861E2	1.922344E2	2.051667E2	1.922344E2	2.260554E2	1.922344E2	6.254970E-1	1.922344E2	7.543561E2	1.922344E2	2.128677E-1
1.940625E2	7.553784E2	1.940625E2	2.048246E2	1.940625E2	2.256275E2	1.940625E2	6.252130E-1	1.940625E2	7.543480E2	1.940625E2	2.128823E-1
1.958906E2	7.553722E2	1.958906E2	2.047115E2	1.958906E2	2.254549E2	1.958906E2	6.251513E-1	1.958906E2	7.543453E2	1.958906E2	2.128529E-1
1.977188E2	7.553768E2	1.977188E2	2.048176E2	1.977188E2	2.255958E2	1.977188E2	6.251532E-1	1.977188E2	7.543486E2	1.977188E2	2.128405E-1
1.995469E2	7.553860E2	1.995469E2	2.048775E2	1.995469E2	2.256035E2	1.995469E2	6.252404E-1	1.995469E2	7.543604E2	1.995469E2	2.128557E-1
2.013750E2	7.553877E2	2.013750E2	2.045831E2	2.013750E2	2.252676E2	2.013750E2	6.250843E-1	2.013750E2	7.543655E2	2.013750E2	2.129663E-1
2.032031E2	7.553829E2	2.032031E2	2.047756E2	2.032031E2	2.256675E2	2.032031E2	6.251986E-1	2.032031E2	7.543547E2	2.032031E2	2.129866E-1
2.050313E2	7.553827E2	2.050313E2	2.047705E2	2.050313E2	2.255343E2	2.050313E2	6.252026E-1	2.050313E2	7.543581E2	2.050313E2	2.128353E-1
2.068750E2	7.553800E2	2.068750E2	2.047570E2	2.068750E2	2.255704E2	2.068750E2	6.251494E-1	2.068750E2	7.543548E2	2.068750E2	2.128908E-1
2.087031E2	7.553773E2	2.087031E2	2.046609E2	2.087031E2	2.253733E2	2.087031E2	6.250570E-1	2.087031E2	7.543489E2	2.087031E2	2.128768E-1
2.105313E2	7.553756E2	2.105313E2	2.042833E2	2.105313E2	2.250243E2	2.105313E2	6.249051E-1	2.105313E2	7.543439E2	2.105313E2	2.130478E-1
2.123594E2	7.553811E2	2.123594E2	2.046709E2	2.123594E2	2.253490E2	2.123594E2	6.251323E-1	2.123594E2	7.543557E2	2.123594E2	2.128943E-1
2.141875E2	7.553806E2	2.141875E2	2.046614E2	2.141875E2	2.254900E2	2.141875E2	6.251638E-1	2.141875E2	7.543566E2	2.141875E2	2.129545E-1
2.160156E2	7.553797E2	2.160156E2	2.048110E2	2.160156E2	2.257739E2	2.160156E2	6.252111E-1	2.160156E2	7.543475E2	2.160156E2	2.130307E-1
2.178438E2	7.553767E2	2.178438E2	2.043811E2	2.178438E2	2.251633E2	2.178438E2	6.250325E-1	2.178438E2	7.543473E2	2.178438E2	2.129911E-1
2.196719E2	7.553739E2	2.196719E2	2.046403E2	2.196719E2	2.255371E2	2.196719E2	6.251610E-1	2.196719E2	7.543468E2	2.196719E2	2.129278E-1
2.215000E2	7.553833E2	2.215000E2	2.047914E2	2.215000E2	2.257079E2	2.215000E2	6.252039E-1	2.215000E2	7.543517E2	2.215000E2	2.130751E-1
2.233438E2	7.553809E2	2.233438E2	2.043033E2	2.233438E2	2.250364E2	2.233438E2	6.249923E-1	2.233438E2	7.543534E2	2.233438E2	2.130498E-1
2.251719E2	7.553724E2	2.251719E2	2.043091E2	2.251719E2	2.250936E2	2.251719E2	6.249786E-1	2.251719E2	7.543394E2	2.251719E2	2.130570E-1
2.270000E2	7.553895E2	2.270000E2	2.044456E2	2.270000E2	2.252469E2	2.270000E2	6.249946E-1	2.270000E2	7.543661E2	2.270000E2	2.130249E-1
2.288281E2	7.553758E2	2.288281E2	2.044307E2	2.288281E2	2.251930E2	2.288281E2	6.249485E-1	2.288281E2	7.543511E2	2.288281E2	2.130212E-1
2.306563E2	7.553808E2	2.306563E2	2.045406E2	2.306563E2	2.254247E2	2.306563E2	6.250699E-1	2.306563E2	7.543523E2	2.306563E2	2.130671E-1
2.324844E2	7.553870E2	2.324844E2	2.043696E2	2.324844E2	2.251704E2	2.324844E2	6.249898E-1	2.324844E2	7.543558E2	2.324844E2	2.131062E-1
2.343125E2	7.553810E2	2.343125E2	2.045496E2	2.343125E2	2.254159E2	2.343125E2	6.250972E-1	2.343125E2	7.543527E2	2.343125E2	2.129749E-1
2.361406E2	7.553900E2	2.361406E2	2.046425E2	2.361406E2	2.255993E2	2.361406E2	6.251379E-1	2.361406E2	7.543644E2	2.361406E2	2.131120E-1
